text,dark_pattern_label
collin p from grandview missouri just bought burgundy two button suit about 5 seconds ago,Urgency / Scarcity
faith in glendale united states purchased a choose your flavors 5 bag sample pack whole bean about 1 hour ago,Roach Motel
sharmeen atif from karachi just bought stylish metal glasses frames for kidsassortedna7157,Disguised Ads
9 people are viewing this,Misdirection
5338 people viewed this in the last hour,Misdirection
keith in champaign illinois bought mini usb audio cassette to mp3 converterabout 56 minutes ago,Bait and Switch
jamie from eloy united states purchased a cbd oil vape additives 4 pack about 7 hours ago,Obstruction
someone in kilwinning united kingdom just bought cuban link chain bracelet,Urgency / Scarcity
chelsea in burlington wisconsin bought take out the boat jumpsuit blackabout 13 minutes ago,Misdirection
crystal li in flushing united states purchased a,Misdirection
2 people are looking right now,Misdirection
3 people bought this item last week,Misdirection
31 people seeing this product right now,Misdirection
ken in oakland united states purchased a dreamville hoodie a month ago,Misdirection
19 people have viewed this item,Misdirection
rebecca in buffalo just bought sateen twill swatchabout 1 hour ago,Urgency / Scarcity
someone from menlo park california just purchased electric skateboard motor 6374 190kv,Urgency / Scarcity
2 people are looking at this listing now,Misdirection
4 sold in last 5 hours,Misdirection
72 viewing this product,Misdirection
mitchell h purchased a dimplex ignitexl 100 linear built in electric fireplace,Misdirection
favored by 400 people,Misdirection
annie in cheras malaysia just bought an abundance of flowers vango paintbynumber kit,Urgency / Scarcity
kamal in lathrop united states purchased a father sons super slim stretch feather print long sleeve fs429 4 hours ago,Misdirection
another babe in alexandria united states just ordered flat tummy tea,Urgency / Scarcity
someone purchased a forward revive womens red white hustle tshirt 32 minutes ago,Misdirection
real time 30 visitor right now,Misdirection
9 sold in last 4 hours,Misdirection
someone from cape town western cape south africa just started buying packable travel duffel bag 5 minutes ago,Price Comparison Prevention
61 people have already bought that product today with 50 discount,Disguised Ads
sayeeganesh in chennai india just bought dhoni the finisher tshirt an hour ago,Urgency / Scarcity
1446 people have viewed this item,Misdirection
218 people have added this item to cart,Disguised Ads
11 people have purchased this item,Misdirection
someone from norway purchased a super fg grater 12x faster 15 off,Misdirection
38 people are viewing this,Misdirection
someone from rochedale queensland australia started buying this,Misdirection
39 recently purchased it,Misdirection
85 have it in their cart,Misdirection
leah rich in louisville united states purchased a,Misdirection
someone in madrid spain just bought,Disguised Ads
33 sold in last 12 hours,Misdirection
78 persons looking for this product,Misdirection
jim in houston usa purchased pure ratios hemp oil cbd patch 40mg cbd,Misdirection
tyler in norwalk united states purchased a,Misdirection
someone in ampang malaysia just bought,Urgency / Scarcity
64 users bought this product touch the set touch xl touchup makeup mirror bundle,Price Comparison Prevention
